dataset_id,row_id,latitude,longitude,sp_code,scientific,common,tsn,count,series_id,date_time,last_mod,provider,owner,oceano,depth,ds_type
219,219_978,32.71,-118.08,Northern elephant seal,Mirounga angustirostris,northern elephant seal,180672,1,,10/14/96 14:47,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":55.20,""SST_D"":19.200,""SST_M"":18.525,""SST_Y"":17.475,""BATH"":-553,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_980,32.72,-118.1,Northern elephant seal,Mirounga angustirostris,northern elephant seal,180672,1,,10/14/96 14:54,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":55.20,""SST_D"":19.125,""SST_M"":18.675,""SST_Y"":17.475,""BATH"":-579,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_982,32.73,-118.12,Unidentified dolphin or porpoise,Cetacea,cetaceans,180403,175,,10/14/96 15:02,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":55.20,""SST_D"":19.125,""SST_M"":18.675,""SST_Y"":17.475,""BATH"":-589,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_981,32.73,-118.12,California sea lion,Zalophus californianus,California sea lion,180621,1,,10/14/96 15:00,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":55.20,""SST_D"":19.125,""SST_M"":18.675,""SST_Y"":17.475,""BATH"":-589,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_983,32.73,-118.13,Unidentified sea lion,Otariidae,eared seals,180615,1,,10/14/96 15:04,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":55.20,""SST_D"":18.975,""SST_M"":18.750,""SST_Y"":17.100,""BATH"":-549,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_984,32.73,-118.13,Northern elephant seal,Mirounga angustirostris,northern elephant seal,180672,1,,10/14/96 15:05,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":55.20,""SST_D"":18.975,""SST_M"":18.750,""SST_Y"":17.100,""BATH"":-549,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_985,32.74,-118.16,Northern elephant seal,Mirounga angustirostris,northern elephant seal,180672,1,,10/14/96 15:13,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":55.20,""SST_D"":18.900,""SST_M"":18.300,""SST_Y"":17.475,""BATH"":-894,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_986,32.75,-118.19,"Unidentified common dolphin, saddleback dolphin, whitebelly porpoise",Delphinus,common dolphins,180437,130,,10/14/96 15:24,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":55.20,""SST_D"":18.750,""SST_M"":18.450,""SST_Y"":17.400,""BATH"":-1111,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_987,32.76,-118.29,"Unidentified common dolphin, saddleback dolphin, whitebelly porpoise",Delphinus,common dolphins,180437,300,,10/14/96 16:05,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":55.20,""SST_D"":18.750,""SST_M"":18.075,""SST_Y"":16.875,""BATH"":-867,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_294,32.28,-119.07,Unidentified sea lion,Otariidae,eared seals,180615,1,,8/14/96 10:42,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":54.85,""SST_D"":-9999,""SST_M"":18.450,""SST_Y"":16.050,""BATH"":-1051,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_293,32.28,-119.12,Unidentified sea lion,Otariidae,eared seals,180615,1,,8/14/96 10:28,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":54.85,""SST_D"":-9999,""SST_M"":18.525,""SST_Y"":15.975,""BATH"":-1119,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_292,32.29,-119.17,Unidentified sea lion,Otariidae,eared seals,180615,1,,8/14/96 10:13,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":54.85,""SST_D"":-9999,""SST_M"":18.675,""SST_Y"":15.975,""BATH"":-1283,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_291,32.29,-119.19,Blue whale,Balaenoptera musculus,blue whale,180528,2,,8/14/96 10:09,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":54.85,""SST_D"":-9999,""SST_M"":18.675,""SST_Y"":16.050,""BATH"":-1352,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_290,32.29,-119.21,California sea lion,Zalophus californianus,California sea lion,180621,1,,8/14/96 10:04,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":54.85,""SST_D"":-9999,""SST_M"":18.675,""SST_Y"":16.050,""BATH"":-1481,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_289,32.31,-119.34,Unidentified sea lion,Otariidae,eared seals,180615,1,,8/14/96 9:24,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":54.85,""SST_D"":-9999,""SST_M"":18.825,""SST_Y"":16.125,""BATH"":-1618,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_288,32.32,-119.43,Unidentified pinniped,Caniformia,,552303,1,,8/14/96 8:58,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":58.17,""SST_D"":-9999,""SST_M"":18.600,""SST_Y"":16.200,""BATH"":-1144,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_287,32.32,-119.49,California sea lion,Zalophus californianus,California sea lion,180621,1,,8/14/96 8:41,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":58.17,""SST_D"":-9999,""SST_M"":18.525,""SST_Y"":16.050,""BATH"":-1547,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_286,32.31,-119.51,Blue whale,Balaenoptera musculus,blue whale,180528,3,,8/14/96 8:07,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":58.17,""SST_D"":-9999,""SST_M"":18.525,""SST_Y"":16.050,""BATH"":-1521,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_285,32.33,-119.61,Blue whale,Balaenoptera musculus,blue whale,180528,1,,8/14/96 7:14,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":58.17,""SST_D"":-9999,""SST_M"":18.525,""SST_Y"":16.050,""BATH"":-522,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_284,32.34,-119.68,Blue whale,Balaenoptera musculus,blue whale,180528,1,,8/14/96 6:55,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":59.77,""SST_D"":-9999,""SST_M"":18.225,""SST_Y"":15.975,""BATH"":-449,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_283,32.32,-119.81,Blue whale,Balaenoptera musculus,blue whale,180528,2,,8/13/96 19:17,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":59.77,""SST_D"":-9999,""SST_M"":18.225,""SST_Y"":16.125,""BATH"":-1275,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_282,32.32,-119.84,Blue whale,Balaenoptera musculus,blue whale,180528,3,,8/13/96 19:08,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":59.77,""SST_D"":-9999,""SST_M"":18.075,""SST_Y"":16.050,""BATH"":-1252,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_281,32.32,-119.85,Blue whale,Balaenoptera musculus,blue whale,180528,2,,8/13/96 19:06,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":59.77,""SST_D"":-9999,""SST_M"":18.075,""SST_Y"":16.050,""BATH"":-1397,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_313,33.01,-117.31,Unidentified sea turtle,Cheloniidae,marine turtles,173828,1,,8/20/96 11:13,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":-9999,""SST_D"":-9999,""SST_M"":20.250,""SST_Y"":18.600,""BATH"":-65,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_314,33.09,-117.43,"Offshore common dolphin, short-beaked common dolphin",Delphinus delphis,common dolphin,180438,210,,8/20/96 12:26,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":-9999,""SST_D"":23.025,""SST_M"":22.275,""SST_Y"":17.325,""BATH"":-460,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_315,33.09,-117.43,"Unidentified common dolphin, saddleback dolphin, whitebelly porpoise",Delphinus,common dolphins,180437,30,,8/20/96 12:26,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":-9999,""SST_D"":23.025,""SST_M"":22.275,""SST_Y"":17.325,""BATH"":-460,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_316,33.09,-117.5,"Unidentified common dolphin, saddleback dolphin, whitebelly porpoise",Delphinus,common dolphins,180437,18,,8/20/96 12:52,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":-9999,""SST_D"":23.025,""SST_M"":22.125,""SST_Y"":17.325,""BATH"":-602,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_317,33.19,-118.23,California sea lion,Zalophus californianus,California sea lion,180621,1,,8/20/96 16:39,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":51.65,""SST_D"":21.900,""SST_M"":21.300,""SST_Y"":16.200,""BATH"":-1098,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_318,33.19,-118.25,"Offshore common dolphin, short-beaked common dolphin",Delphinus delphis,common dolphin,180438,297,,8/20/96 16:46,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":51.65,""SST_D"":21.900,""SST_M"":21.300,""SST_Y"":16.200,""BATH"":-1106,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_319,33.24,-118.38,Unidentified rorqual,Balaenoptera,baleen whales,180523,1,,8/20/96 17:28,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":51.65,""SST_D"":21.900,""SST_M"":21.900,""SST_Y"":16.200,""BATH"":-1180,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
219,219_320,33.24,-118.4,"Offshore common dolphin, short-beaked common dolphin",Delphinus delphis,common dolphin,180438,139,,8/20/96 17:36,10/3/05 18:08,NOAA Southwest Fisheries Science Center (SWFSC),jay.barlow,"""SSH_D"":51.65,""SST_D"":21.825,""SST_M"":21.825,""SST_Y"":16.350,""BATH"":-1176,""EEZ"":163,""WDPA"":NULL,""LME"":3,""MEOW"":25059",,ptobs
